# created: Thu Jun  6 01:42:51 AM UTC 2024
# script: pkg_manifests_save_all_details
NAME                                               NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL             CHANNELS                                                                                                                                                                                                                                                                                              NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
3scale-community-operator                          <none>                                      community-operators   openshift-marketplace   threescale-2.14             threescale-2.11,threescale-2.12,threescale-2.13,threescale-2.14                                                                                                                                                                                                                                       true     true        false      false    3scale API Management
3scale-operator                                    <none>                                      redhat-operators      openshift-marketplace   threescale-2.14             threescale-2.13,threescale-2.14,threescale-mas                                                                                                                                                                                                                                                        true     true        false      true     Red Hat Integration - 3scale
abinitio-runtime-operator                          abinitio-system                             certified-operators   openshift-marketplace   release-4.3                 release-4.3,stable                                                                                                                                                                                                                                                                                    false    false       false      true     Co>Operating System Runtime Operator
abot-operator-rhmp                                 <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    ABot-Operator-v2.0.0
acc-operator                                       netapp-acc-operator                         certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     netapp-acc-operator
accuknox-operator-certified                        accuknox-agents                             certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     false       false      false    Accuknox Operator
aci-containers-operator                            <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Cisco ACI Containers Operator
ack-acm-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon ACM
ack-acmpca-controller                              ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon ACM PCA
ack-apigatewayv2-controller                        ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon API Gateway v2
ack-applicationautoscaling-controller              ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Application Auto Scaling
ack-cloudfront-controller                          ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon CloudFront
ack-cloudtrail-controller                          ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon CloudTrail
ack-cloudwatch-controller                          ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon CloudWatch
ack-cloudwatchlogs-controller                      ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon CloudWatch Logs
ack-documentdb-controller                          ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon DocumentDB
ack-dynamodb-controller                            ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon DynamoDB
ack-ec2-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon EC2
ack-ecr-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon ECR
ack-ecs-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon ECS
ack-efs-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Elastic File System (Amazon EFS)
ack-eks-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon EKS
ack-elasticache-controller                         ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon ElastiCache
ack-elbv2-controller                               ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon ELB
ack-emrcontainers-controller                       ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon EMR on EKS
ack-eventbridge-controller                         ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon EventBridge
ack-iam-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon IAM
ack-kafka-controller                               ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Kafka
ack-keyspaces-controller                           ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Keyspaces
ack-kinesis-controller                             ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Kinesis
ack-kms-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon KMS
ack-lambda-controller                              ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Lambda
ack-memorydb-controller                            ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 <none>   <none>      <none>     true     AWS Controllers for Kubernetes - MemoryDB
ack-mq-controller                                  ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon MQ
ack-networkfirewall-controller                     ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Network Firewall
ack-opensearchservice-controller                   ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon OpenSearch Service
